,lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,room_type_reserved,type_of_meal_plan,booking_status
0,26,0,161.0,10,17,4,1,2,0,0,1
1,98,2,121.5,7,16,4,1,1,0,0,1
2,433,0,70.0,9,8,3,3,0,0,0,0
3,195,0,72.25,8,8,3,5,2,0,0,1
4,188,0,130.0,6,15,3,2,0,0,0,0
5,74,1,112.5,4,6,4,3,0,0,0,0
6,273,0,95.0,5,13,3,2,1,0,0,0
7,6,0,66.3,12,15,4,3,1,0,3,1
8,89,1,83.66,3,21,4,5,2,0,0,1
9,56,1,180.0,3,20,4,0,2,5,0,0
10,103,1,114.3,7,12,4,5,1,0,0,1
11,155,0,117.42,8,30,4,11,4,0,0,0
12,3,0,128.8,6,11,4,1,0,4,0,1
13,180,0,120.0,10,10,3,2,1,0,0,0
14,92,2,89.85,7,12,4,4,0,0,0,1
15,56,0,82.0,9,17,3,2,0,0,1,1
16,279,0,110.0,10,12,4,3,0,0,0,0
17,134,1,114.3,8,10,4,2,0,0,0,1
18,8,1,139.0,3,25,4,2,0,0,3,1
19,10,2,172.0,4,29,4,2,2,3,0,1
20,2,1,148.0,8,21,4,0,2,0,0,1
21,52,1,79.5,2,26,4,2,1,0,3,0
22,116,0,61.0,2,28,3,1,2,0,0,0
23,89,0,186.3,7,21,4,2,0,5,0,0
24,193,0,120.0,6,20,4,2,1,0,0,0
25,92,0,90.0,11,11,3,1,0,0,0,1
26,95,1,130.5,7,1,4,3,2,0,0,1
27,6,1,109.0,2,4,4,3,1,0,0,0
28,60,1,106.2,4,1,4,2,1,3,0,1
29,359,1,105.0,9,16,4,2,2,0,0,0
30,67,2,88.4,11,23,4,4,0,0,0,0
31,177,0,123.75,8,3,4,4,1,0,0,0
32,101,0,54.06,4,12,4,5,1,0,3,1
33,15,0,80.0,2,19,2,1,0,0,0,1
34,30,0,94.2,8,31,4,1,0,0,0,1
35,89,0,128.85,5,8,4,2,2,0,0,1
36,21,0,133.5,9,29,4,4,0,0,0,0
37,6,0,70.0,8,5,3,4,2,0,0,1
38,135,2,119.85,6,16,4,3,1,0,0,1
39,1,0,0.0,3,2,4,1,0,0,0,1
40,37,2,145.8,9,21,4,3,1,0,0,1
41,45,1,75.0,11,7,3,5,2,0,0,1
42,168,2,72.25,8,12,3,3,2,0,0,1
43,143,0,100.3,6,2,4,3,2,0,0,0
44,25,0,75.2,11,29,4,1,0,0,0,1
45,102,0,101.5,10,16,4,2,0,0,1,0
46,4,2,81.6,12,5,3,2,2,0,0,1
47,108,2,108.0,10,17,4,3,1,0,3,1
48,8,1,65.0,7,28,2,1,0,0,0,1
49,56,0,185.0,9,25,3,2,2,0,0,1
50,12,0,220.0,8,19,4,1,0,5,0,0
51,0,0,80.0,8,23,4,0,1,0,0,1
52,37,1,75.0,10,30,3,1,2,0,0,1
53,0,0,158.0,5,9,4,1,1,3,0,1
54,39,0,87.0,8,14,3,2,0,0,1,1
55,36,0,103.95,4,8,4,1,0,5,0,1
56,63,2,131.75,7,26,3,5,0,4,0,1
57,87,1,112.01,5,29,4,2,2,1,0,1
58,58,1,79.2,11,13,4,2,1,0,0,1
59,301,0,52.0,11,18,3,2,0,0,0,0
60,346,1,115.0,9,13,4,2,0,0,1,0
61,361,0,91.0,11,4,4,1,0,0,0,0
62,3,0,65.0,6,6,2,0,1,0,0,1
63,49,0,71.0,12,30,3,4,0,0,0,1
64,19,0,135.0,5,7,4,1,0,0,0,1
65,74,0,101.5,9,18,3,2,0,0,1,1
66,34,1,107.1,6,14,4,3,0,0,3,1
67,73,1,79.05,3,16,4,4,1,0,0,0
68,0,0,67.0,11,25,2,1,0,0,0,1
69,94,1,96.3,4,12,4,2,0,0,0,1
